Module,Type,TC ID,Name / Title,Preconditions,Steps to be executed,Expected results,Priority,Test Type,Precondition Key,Test Set Key,,
FR3: Messaging,Positive,3201,Send a text message,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-277,,
,,3201,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3201,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3201,,,Click on Message Textbox ,Keyboard pop-up,,,,,,
,,3201,,,Write dummy text,,,,,,,
,,3201,,,Click on send button,Message is sent,,,,,,
FR3: Messaging,Positive,3202,Send a Like emoji message,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-277,,
,,3202,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3202,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3202,,,"hold on ""Like"" icon to send bigger like",Like is sent,,,,,,
FR3: Messaging,Positive,3203,Send a photo in a chat from gallery,App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-72,FTT-277,,
,,3203,,Facebook is given permision to access gallery,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,FTT-74,,,
,,3203,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3203,,,"Click on ""Photo/Video"" icon","""Camera Roll"" window opens with photos from gallery",,,,,,
,,3203,,,Select a photo,,,,,,,
,,3203,,,Click Send Button in the upper right corner,Message is sent,,,,,,
FR3: Messaging,Positive,3204,Unsend a message for the user only,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-277,,
,,3204,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3204,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3204,,,Click on Message Textbox ,Keyboard pop-up,,,,,,
,,3204,,,Write dummy text,,,,,,,
,,3204,,,Click on send button,Message is sent,,,,,,
,,3204,,,Hold the message you sent, a pop-up window with tow options (Remove - forward) pops,,,,,,
,,3204,,,Click on Remove button, a pop-up window with tow options (Unsend for everyone - Unsend for me) pops,,,,,,
,,3204,,,"Click on ""Unsend for me""",Message is unsent for the user(sender) only,,,,,,
FR3: Messaging,Positive,3205,Unsend a message for everyone,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-277,,
,,3205,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3205,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3205,,,Click on Message Textbox ,Keyboard pop-up,,,,,,
,,3205,,,Write dummy text,,,,,,,
,,3205,,,Click on send button,Message is sent,,,,,,
,,3205,,,Hold the message you sent, a pop-up window with tow options (Remove - forward) pops,,,,,,
,,3205,,,Click on Remove button, a pop-up window with tow options (Unsend for everyone - Unsend for me) pops,,,,,,
,,3205,,,"Click on ""Unsend for everyone""",Message is unsent for everyone,,,,,,
FR3: Messaging,Positive,3206,Send a voice message,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-277,,
,,3206,,Facebook is given permision to access camera,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,FTT-75,,,
,,3206,,Facebook is given permision to record audio,Click on any friend chat,chat window opens with Friend name as title.,,,FTT-77,,,
,,3206,,Facebook is given permision to record video,"Click on ""MIC"" button"," a small window open with red ""Record"" Button in the center",,,FTT-79,,,
,,3206,,,Hold on Record Button to record voice,Voice messsage is sent,,,,,,
FR3: Messaging,Positive,3207,Send a photo in a chat using camera,App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-72,FTT-277,,
,,3207,,Facebook is given permision to access camera,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,FTT-75,,,
,,3207,,Facebook is given permision to record audio,Click on any friend chat,chat window opens with Friend name as title.,,,FTT-77,,,
,,3207,,Facebook is given permision to record video,"Click on ""Camera"" Button",Camera is opened,,,FTT-79,,,
,,3207,,,Click on the Button in the middle to capture,,,,,,,
,,3207,,,"Click on the ""Done"" Button in the bottom right",Message is sent,,,,,,
FR3: Messaging,Positive,3208,Send a video in a chat using camera,App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-72,FTT-277,,
,,3208,,Facebook is given permision to access camera,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,FTT-75,,,
,,3208,,Facebook is given permision to record audio,Click on any friend chat,chat window opens with Friend name as title.,,,FTT-77,,,
,,3208,,Facebook is given permision to record video,"Click on ""Camera"" Button",Camera is opened,,,FTT-79,,,
,,3208,,,Hold on the Button in the middle to record a video,,,,,,,
,,3208,,,"Click on the ""Done"" Button in the bottom right",Message is sent,,,,,,
FR3: Messaging,Positive,3209,Send several photos in a chat using gallery,App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-72,FTT-277,,
,,3209,,Facebook is given permision to access gallery,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,FTT-74,,,
,,3209,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3209,,,"Click on ""Photo/Video"" icon",,,,,,,
,,3209,,,Select photos,,,,,,,
,,3209,,,Click Send Button in the upper right corner,Message is sent,,,,,,
FR3: Messaging,Positive,3210,Send several videos in a chat using gallery,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-277,,
,,3210,,Facebook is given permision to access gallery,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,FTT-74,,,
,,3210,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3210,,,"Click on ""Photo/Video"" icon",,,,,,,
,,3210,,,Select videos,,,,,,,
,,3210,,,Click Send Button in the upper right corner,Message is sent,,,,,,
FR3: Messaging,Positive,3211,Send several videos in a chat using gallery,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-277,,
,,3211,,Facebook is given permision to access gallery,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,FTT-74,,,
,,3211,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3211,,,"Click on ""Photo/Video"" icon",,,,,,,
,,3211,,,Select videos,,,,,,,
,,3211,,,Click Send Button in the upper right corner,Message is sent,,,,,,
FR3: Messaging,Positive,3212,Send several videos in a chat using camera,App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-277,,
